3,Entre 40 Kg y 70 Kg,Denmark,http://www.perros.com/razas/broholmer/,/razas/broholmer/
2,Entre 12 Kg y 18 Kg,Norway,http://www.perros.com/razas/buhund-noruego/,/razas/buhund-noruego/
2,Entre 24 Kg y 28 Kg,United Kingdom,http://www.perros.com/razas/bull-terrier/,/razas/bull-terrier/
1,Entre 5 Kg y 18 Kg,United Kingdom,http://www.perros.com/razas/bull-terrier-miniatura/,/razas/bull-terrier-miniatura/
2,Entre 18 Kg y 25 Kg,United Kingdom,http://www.perros.com/razas/bulldog/,/razas/bulldog/
2,Entre 30 Kg y 55 Kg,United States of America,http://www.perros.com/razas/bulldog-americano/,/razas/bulldog-americano/
2,Alrededor de 11 Kg,France,http://www.perros.com/razas/bulldog-frances/,/razas/bulldog-frances/
gigante,Entre 45.5 Kg y 59 Kg,United Kingdom,http://www.perros.com/razas/bullmastin/,/razas/bullmastin/
1,Entre 6.4 Kg y 7.3 Kg,United Kingdom,http://www.perros.com/razas/cairn-terrier/,/razas/cairn-terrier/
3,Entre 40 Kg y 53 Kg,Italy,http://www.perros.com/razas/cane-corso/,/razas/cane-corso/
2,Entre 5 Kg y 30 Kg,France,http://www.perros.com/razas/caniche-o-poodle/,/razas/caniche-o-poodle/
1,Entre 6.3 Kg y 8.1 Kg,China,http://www.perros.com/razas/carlino/,/razas/carlino/
2,Entre 6 Kg y 8 Kg,United Kingdom,http://www.perros.com/razas/cavalier-king-charles-spaniel/,/razas/cavalier-king-charles-spaniel/
1,Entre 1 Kg y 2.75 Kg,Mexico,http://www.perros.com/razas/chihuahua/,/razas/chihuahua/
1,Entre 1.8 Kg y 3 Kg,Japan,http://www.perros.com/razas/chin-japones/,/razas/chin-japones/
2,Entre 20 Kg y 31 Kg,China,http://www.perros.com/razas/chow-chow/,/razas/chow-chow/
2,Entre 8 Kg y 12 Kg,Italy,http://www.perros.com/razas/cirneco-del-etna/,/razas/cirneco-del-etna/
3,Entre 35 Kg y 38.5 Kg,United Kingdom,http://www.perros.com/razas/clumber-spaniel/,/razas/clumber-spaniel/
2,Entre 17 Kg y 23 Kg,Canada,http://www.perros.com/razas/cobrador-de-nueva-escocia/,/razas/cobrador-de-nueva-escocia/
2,Entre 13 Kg y 15 Kg,United Kingdom,http://www.perros.com/razas/cocker-spaniel/,/razas/cocker-spaniel/
3,Entre 9 Kg y 13 Kg,United States of America,http://www.perros.com/razas/cocker-spaniel-americano/,/razas/cocker-spaniel-americano/
3,Entre 18 Kg y 33 Kg,United Kingdom,http://www.perros.com/razas/collie/,/razas/collie/
2,Entre 16 Kg y 27 Kg,United Kingdom,http://www.perros.com/razas/collie-barbudo/,/razas/collie-barbudo/
2,Entre 18 Kg y 29.5 Kg,United Kingdom,http://www.perros.com/razas/collie-smooth/,/razas/collie-smooth/
1,Entre 11 Kg y 17 Kg,United Kingdom,http://www.perros.com/razas/corgi-gales-cardigan/,/razas/corgi-gales-cardigan/
1,Entre 8 Kg y 11 Kg,United Kingdom,http://www.perros.com/razas/corgi-gales-pembroke/,/razas/corgi-gales-pembroke/
1,Entre 3.5 Kg y 6 Kg,Madagascar,http://www.perros.com/razas/coton-de-tulear/,/razas/coton-de-tulear/
3,,United Kingdom,http://www.perros.com/razas/curly-coated-retriever-de-pelo-rizado/,/razas/curly-coated-retriever-de-pelo-rizado/
3,Entre 22 Kg y 25 Kg,Croatia,http://www.perros.com/razas/dalmata/,/razas/dalmata/
1,Entre 8 Kg y 11 Kg,United Kingdom,http://www.perros.com/razas/dandie-dinmont-terrier/,/razas/dandie-dinmont-terrier/
3,Entre 34 Kg y 50 Kg,United Kingdom,http://www.perros.com/razas/deerhound-escoces/,/razas/deerhound-escoces/
3,Entre 32 Kg y 45 Kg,Germany,http://www.perros.com/razas/doberman/,/razas/doberman/
2,Alrededor de 40 Kg,Argentina,http://www.perros.com/razas/dogo-argentino/,/razas/dogo-argentino/
2,Entre 40 Kg y 57 Kg,Spain,http://www.perros.com/razas/dogo-canario/,/razas/dogo-canario/
2,Entre 36 Kg y 65 Kg,France,http://www.perros.com/razas/dogo-de-burdeos/,/razas/dogo-de-burdeos/
3,Entre 30 Kg y 38 Kg,Spain,http://www.perros.com/razas/dogo-mallorquin/,/razas/dogo-mallorquin/
2,,Sweden,http://www.perros.com/razas/drever/,/razas/drever/
2,Entre 18 Kg y 28 Kg,Norway,http://www.perros.com/razas/elkhound-noruego/,/razas/elkhound-noruego/
2,Entre 13 Kg y 15 Kg,France,http://www.perros.com/razas/epagneul-breton/,/razas/epagneul-breton/
2,Entre 18 Kg y 32 Kg,Germany,http://www.perros.com/razas/eurasier/,/razas/eurasier/
2,Entre 20 Kg y 23 Kg,Malta,http://www.perros.com/razas/faraon-hound/,/razas/faraon-hound/
2,Entre 16 Kg y 25 Kg,United Kingdom,http://www.perros.com/razas/field-spaniel/,/razas/field-spaniel/
3,Entre 30 Kg y 50 Kg,Brazil,http://www.perros.com/razas/fila-brasileiro/,/razas/fila-brasileiro/
3,Entre 20 Kg y 35 Kg,Portugal,http://www.perros.com/razas/fila-de-san-miguel/,/razas/fila-de-san-miguel/
2,Entre 1.5 Kg y 3 Kg,United Kingdom,http://www.perros.com/razas/fox-terrier-de-pelo-duro/,/razas/fox-terrier-de-pelo-duro/
2,Entre 7 Kg y 8 Kg,United Kingdom,http://www.perros.com/razas/fox-terrier-de-pelo-liso/,/razas/fox-terrier-de-pelo-liso/
1,Entre 1.5 Kg y 3 Kg,United States of America,http://www.perros.com/razas/fox-terrier-toy/,/razas/fox-terrier-toy/
3,Entre 29 Kg y 34 Kg,United States of America,http://www.perros.com/razas/foxhound-americano/,/razas/foxhound-americano/
3,Entre 30 Kg y 32 Kg,United Kingdom,http://www.perros.com/razas/foxhound-ingles/,/razas/foxhound-ingles/
3,Entre 20 Kg y 30 Kg,Spain,http://www.perros.com/razas/galgo-espanol/,/razas/galgo-espanol/
1,Entre 2.5 Kg y 4.5 Kg,Italy,http://www.perros.com/razas/galgo-italiano/,/razas/galgo-italiano/
1,,France,http://www.perros.com/razas/gascon-saintongeois/,/razas/gascon-saintongeois/
2,,Ireland,http://www.perros.com/razas/glen-of-imaal-terrier/,/razas/glen-of-imaal-terrier/
3,Entre 27 Kg y 36 Kg,United Kingdom,http://www.perros.com/razas/golden-retriever/,/razas/golden-retriever/
2,,France,http://www.perros.com/razas/gran-basset-grifon-vendeano/,/razas/gran-basset-grifon-vendeano/
gigante,Entre 50 Kg y 80 Kg,Germany,http://www.perros.com/razas/gran-danes/,/razas/gran-danes/
3,Entre 27 Kg y 32 Kg,United Kingdom,http://www.perros.com/razas/greyhound/,/razas/greyhound/
1,Entre 3.5 Kg y 6 Kg,Belgium,http://www.perros.com/razas/grifon-belga/,/razas/grifon-belga/
1,Entre 3.5 Kg y 6 Kg,Belgium,http://www.perros.com/razas/grifon-de-bruselas/,/razas/grifon-de-bruselas/
3,Entre 22 Kg y 34 Kg,Czech Republic,http://www.perros.com/razas/grifon-de-muestra-bohemio-de-pelo-duro/,/razas/grifon-de-muestra-bohemio-de-pelo-duro/
3,,Czech Republic,http://www.perros.com/razas/grifon-de-muestra-eslovaco-de-pelo-duro/,/razas/grifon-de-muestra-eslovaco-de-pelo-duro/
