bullmastin,gigante,Entre 45.5 Kg y 59 Kg,United Kingdom,http://www.perros.com/razas/bullmastin/
cairn terrier,1,Entre 6.4 Kg y 7.3 Kg,United Kingdom,http://www.perros.com/razas/cairn-terrier/
cane corso,3,Entre 40 Kg y 53 Kg,Italy,http://www.perros.com/razas/cane-corso/
caniche o poodle,2,Entre 5 Kg y 30 Kg,France,http://www.perros.com/razas/caniche-o-poodle/
carlino,1,Entre 6.3 Kg y 8.1 Kg,China,http://www.perros.com/razas/carlino/
cavalier king charles spaniel,2,Entre 6 Kg y 8 Kg,United Kingdom,http://www.perros.com/razas/cavalier-king-charles-spaniel/
chihuahua,1,Entre 1 Kg y 2.75 Kg,Mexico,http://www.perros.com/razas/chihuahua/
chin japones,1,Entre 1.8 Kg y 3 Kg,Japan,http://www.perros.com/razas/chin-japones/
chow chow,2,Entre 20 Kg y 31 Kg,China,http://www.perros.com/razas/chow-chow/
cirneco del etna,2,Entre 8 Kg y 12 Kg,Italy,http://www.perros.com/razas/cirneco-del-etna/
clumber spaniel,3,Entre 35 Kg y 38.5 Kg,United Kingdom,http://www.perros.com/razas/clumber-spaniel/
cobrador de nueva escocia,2,Entre 17 Kg y 23 Kg,Canada,http://www.perros.com/razas/cobrador-de-nueva-escocia/
cocker spaniel,2,Entre 13 Kg y 15 Kg,United Kingdom,http://www.perros.com/razas/cocker-spaniel/
cocker spaniel americano,3,Entre 9 Kg y 13 Kg,United States of America,http://www.perros.com/razas/cocker-spaniel-americano/
collie,3,Entre 18 Kg y 33 Kg,United Kingdom,http://www.perros.com/razas/collie/
collie barbudo,2,Entre 16 Kg y 27 Kg,United Kingdom,http://www.perros.com/razas/collie-barbudo/
collie smooth,2,Entre 18 Kg y 29.5 Kg,United Kingdom,http://www.perros.com/razas/collie-smooth/
corgi gales cardigan,1,Entre 11 Kg y 17 Kg,United Kingdom,http://www.perros.com/razas/corgi-gales-cardigan/
corgi gales pembroke,1,Entre 8 Kg y 11 Kg,United Kingdom,http://www.perros.com/razas/corgi-gales-pembroke/
coton de tulear,1,Entre 3.5 Kg y 6 Kg,Madagascar,http://www.perros.com/razas/coton-de-tulear/
curly coated retriever de pelo rizado,3,,United Kingdom,http://www.perros.com/razas/curly-coated-retriever-de-pelo-rizado/
dalmata,3,Entre 22 Kg y 25 Kg,Croatia,http://www.perros.com/razas/dalmata/
